cohort,model,landmark,n_rows,n_stays,events,auroc,auprc,brier,calibration_intercept,calibration_slope,event_rate,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,brier_ci_low,brier_ci_high,calibration_slope_ci_low,calibration_slope_ci_high
MIMIC-IV internal test,xgboost_full,overall,1393,1026,652,0.7701911692870687,0.7600899981132971,0.19171333312992314,0.10767808465527737,0.969884290430439,0.4680545585068198,0.7431803688153618,0.7985579319596904,0.7264164756385499,0.7948545270266875,0.18008255115023852,0.2033997898383761,,
MIMIC-IV internal test,xgboost_full,24h,675,675,321,0.7905644437404298,0.7971140964012726,0.18216229075963689,0.10125008255821337,1.077928182704524,0.47555555555555556,,,,,,,,
MIMIC-IV internal test,xgboost_full,48h,427,427,196,0.7394425302588568,0.696164604160521,0.20830623825945813,0.06573785019517814,0.7927582138939119,0.45901639344262296,,,,,,,,
MIMIC-IV internal test,xgboost_full,72h,291,291,135,0.7731244064577397,0.7779550934170305,0.1895201479396542,0.17158651092084684,1.0148112767581245,0.4639175257731959,,,,,,,,
MIMIC-IV internal test,xgboost_crossdb,overall,1393,1026,652,0.7658962767939197,0.7539795517803614,0.1935721091052741,0.08898907638003495,0.9437670068489499,0.4680545585068198,0.7380177799458517,0.7923104680815077,0.719169559047843,0.7873952788416806,0.18107799722210474,0.20525747746963308,,
MIMIC-IV internal test,xgboost_crossdb,24h,675,675,321,0.7832954925462449,0.7893789619887261,0.18487581284854768,0.06779417659949188,1.0282890199965475,0.47555555555555556,,,,,,,,
MIMIC-IV internal test,xgboost_crossdb,48h,427,427,196,0.7406131283682305,0.694211642948827,0.20839586651316697,0.06291029041990263,0.7966241714871717,0.45901639344262296,,,,,,,,
MIMIC-IV internal test,xgboost_crossdb,72h,291,291,135,0.7685660018993352,0.7674802085252539,0.19199223130499943,0.16063230668163092,0.9860210812960754,0.4639175257731959,,,,,,,,
MIMIC-III external KDIGO-only,xgboost_full,overall,4175,3020,1821,0.749043888514858,0.6833567013889826,0.20321837339280072,-0.20643886126660896,0.7914542139628701,0.4361676646706587,0.7319746436053374,0.7648452149667642,0.6553889948286142,0.7125757509393624,0.19578456318307155,0.2109070680518105,,
MIMIC-III external KDIGO-only,xgboost_full,24h,1916,1916,829,0.7266177869169913,0.6696698072965175,0.21045774493416286,-0.19444304977476928,0.7400567986412363,0.4326722338204593,,,,,,,,
MIMIC-III external KDIGO-only,xgboost_full,48h,1303,1303,560,0.7656412228417612,0.694563515587804,0.19564253696375125,-0.21306967202986168,0.8505953489781568,0.4297774366845741,,,,,,,,
MIMIC-III external KDIGO-only,xgboost_full,72h,956,956,432,0.76948155216285,0.6968675852234351,0.199034983218953,-0.22703954593901599,0.8143007713593298,0.45188284518828453,,,,,,,,
MIMIC-III external with CRRT,xgboost_full,overall,4062,2930,1762,0.7583427922814983,0.6964021201714726,0.19810195369148426,-0.16927461770189237,0.8514240458059431,0.43377646479566717,0.7403510715169007,0.7746735211654449,0.6715032891555561,0.7219387517882189,0.19167914416730147,0.20560308218932555,,
MIMIC-III external with CRRT,xgboost_full,24h,1875,1875,807,0.7329174962523611,0.6795670861378194,0.20682464195262837,-0.16214628033462486,0.7841705166668513,0.4304,,,,,,,,
MIMIC-III external with CRRT,xgboost_full,48h,1274,1274,548,0.7768595041322314,0.7006684111970136,0.1901753266790342,-0.16078281775337866,0.9152954052731312,0.4301412872841444,,,,,,,,
MIMIC-III external with CRRT,xgboost_full,72h,913,913,407,0.7832350856066271,0.7251828839175785,0.19124925087025332,-0.2022948669395921,0.9025340523280431,0.4457831325301205,,,,,,,,
MIMIC-III external with CRRT,xgboost_crossdb,overall,4062,2930,1762,0.7611409959038642,0.7025228099910356,0.19716387462514778,-0.2301236609143465,0.8661849641874251,0.43377646479566717,0.7443616864447258,0.7771803603635493,0.6781794227797459,0.7266161348008142,0.1899742878475644,0.2046834547460942,,
MIMIC-III external with CRRT,xgboost_crossdb,24h,1875,1875,807,0.7362555634453217,0.6846994449514208,0.2056883268666402,-0.20995407085519852,0.798703001292313,0.4304,,,,,,,,
MIMIC-III external with CRRT,xgboost_crossdb,48h,1274,1274,548,0.7808710864450744,0.7123383977486182,0.18874231018908236,-0.23228527854639278,0.9435189976004947,0.4301412872841444,,,,,,,,
MIMIC-III external with CRRT,xgboost_crossdb,72h,913,913,407,0.7837497936312166,0.7258848024379981,0.19140891858872822,-0.2765261288118016,0.9021588047314424,0.4457831325301205,,,,,,,,
SICdb sensitivity external,xgboost_crossdb,overall,685,347,128,0.5869473743267505,0.22774582792833564,0.35473104448085513,-1.6514071582503518,0.2842667496808437,0.18686131386861313,0.5240537431551622,0.6505785618263127,0.17874988470949438,0.3031056982203212,0.33027659965836403,0.3796218004071962,,
SICdb sensitivity external,xgboost_crossdb,24h,301,301,71,0.6515003061849356,0.34014777901437154,0.3251352609326134,-1.5436614499188477,0.5423357088937754,0.23588039867109634,,,,,,,,
SICdb sensitivity external,xgboost_crossdb,48h,217,217,29,0.5752017608217168,0.18806467806831215,0.35150996961813985,-2.008932022921029,0.26333211796569655,0.1336405529953917,,,,,,,,
SICdb sensitivity external,xgboost_crossdb,72h,167,167,28,0.4455292908530319,0.154525967063817,0.4122598115061844,-1.5121924753526366,-0.1431671554481259,0.16766467065868262,,,,,,,,
